timestamp,frame,event_type,track_id,distance,speed,threat_level,pattern,commands
2026-05-12T19:29:42.669649,936,THREAT,5,124.3,10.9,CRITICAL,zigzag,"⚠️ EVADE NOW!;EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:42.759983,937,THREAT,5,82.7,16.3,CRITICAL,zigzag,"⚠️ EVADE NOW!;EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:42.853625,938,THREAT,5,72.2,17.0,CRITICAL,zigzag,"⚠️ EVADE NOW!;EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:42.944827,939,THREAT,5,91.1,16.8,CRITICAL,zigzag,"⚠️ EVADE NOW!;EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:43.035793,940,THREAT,5,112.0,15.5,CRITICAL,zigzag,"⚠️ EVADE NOW!;EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:43.123591,941,THREAT,5,164.5,13.3,HIGH,zigzag,"EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:43.217363,942,THREAT,5,214.8,11.5,HIGH,zigzag,"EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:43.309316,943,THREAT,5,210.7,8.7,HIGH,zigzag,"EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:43.399831,944,THREAT,5,235.4,7.6,MEDIUM,zigzag,"EVADE LEFT;EVADE DOWN;EVASIVE ZIGZAG;FULL THROTTLE"
2026-05-12T19:29:43.489507,945,THREAT,5,206.2,5.0,HIGH,turning,"EVADE DOWN;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:43.580929,946,THREAT,5,135.1,5.2,HIGH,turning,"⚠️ EVADE NOW!;EVADE DOWN;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:43.671168,947,THREAT,5,82.5,5.5,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE RIGHT;EVADE DOWN;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:43.762192,948,THREAT,5,19.8,6.9,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE LEFT;EVADE UP;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:43.855671,949,THREAT,5,86.4,5.2,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE LEFT;EVADE UP;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:43.949265,950,THREAT,5,155.3,4.3,HIGH,turning,"EVADE LEFT;EVADE UP;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:44.037853,951,THREAT,5,110.3,2.5,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE LEFT;EVADE UP;PERPENDICULAR"
2026-05-12T19:29:44.129133,952,THREAT,5,98.2,1.3,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:44.222360,953,THREAT,5,82.3,3.3,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:44.315766,954,THREAT,5,81.3,3.3,CRITICAL,unknown,"⚠️ EVADE NOW!;EVADE DOWN"
2026-05-12T19:29:44.407464,955,THREAT,5,21.4,1.8,CRITICAL,turning,"⚠️ EVADE NOW!;EVADE LEFT;EVADE UP;PERPENDICULAR"
2026-05-12T19:29:44.497611,956,THREAT,5,175.8,1.3,HIGH,turning,"EVADE LEFT;EVADE UP;PERPENDICULAR"
2026-05-12T19:29:44.591747,957,THREAT,5,304.8,1.5,MEDIUM,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:44.683887,958,THREAT,5,312.8,2.4,MEDIUM,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:44.773653,959,THREAT,5,323.8,3.6,MEDIUM,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:44.865878,960,THREAT,5,322.0,3.9,MEDIUM,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:44.956614,961,THREAT,5,252.5,0.9,HIGH,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:45.046095,962,THREAT,5,227.5,1.5,HIGH,turning,"EVADE LEFT;EVADE UP;PERPENDICULAR"
2026-05-12T19:29:45.140469,963,THREAT,5,219.5,3.4,HIGH,turning,"EVADE LEFT;EVADE UP;PERPENDICULAR"
2026-05-12T19:29:45.230243,964,THREAT,5,234.8,4.8,MEDIUM,turning,"EVADE LEFT;EVADE UP;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:45.318791,965,THREAT,5,309.7,6.6,MEDIUM,turning,"EVADE LEFT;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:45.412380,966,THREAT,5,336.7,6.2,LOW,turning,"EVADE LEFT;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:45.502917,967,THREAT,5,347.0,4.0,LOW,turning,"EVADE LEFT;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:45.598837,968,THREAT,5,366.6,4.1,LOW,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR;FULL THROTTLE"
2026-05-12T19:29:45.687412,969,THREAT,5,365.3,3.4,LOW,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR"
2026-05-12T19:29:45.781475,970,THREAT,5,381.5,4.8,LOW,turning,"EVADE LEFT;EVADE DOWN;PERPENDICULAR;FULL THROTTLE"
